"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
41,492235.299059391022,-15.451612472534,0.000000000000,-68.603790283203,0.000000000000,53.152177810669,0.000000000000
42,498366.730048656464,-15.451334953308,0.000000000000,-68.438720703125,0.000000000000,52.987385749817,0.000000000000
43,504574.535979270935,-15.451331138611,0.000000000000,-68.578582763672,0.000000000000,53.127251625061,0.000000000000
44,510859.668216228485,-15.450553894043,0.000000000000,-68.591392517090,0.000000000000,53.140838623047,0.000000000000
45,517223.089951515198,-15.451028823853,0.000000000000,-68.632965087891,0.000000000000,53.181936264038,0.000000000000
46,523665.776382923126,-15.451498985291,0.000000000000,-68.528633117676,0.000000000000,53.077134132385,0.000000000000
47,530188.714854240417,-15.452207565308,0.000000000000,-68.597587585449,0.000000000000,53.145380020142,0.000000000000
48,536792.905011177063,-15.453590393066,0.000000000000,-68.398635864258,0.000000000000,52.945045471191,0.000000000000
49,543479.358937263489,-15.451212882996,0.000000000000,-68.459579467773,0.000000000000,53.008366584778,0.000000000000
50,550249.101354598999,-15.454359054565,0.000000000000,-68.595886230469,0.000000000000,53.141527175903,0.000000000000
51,557103.169721603394,-15.453582763672,0.000000000000,-68.510337829590,0.000000000000,53.056755065918,0.000000000000
52,564042.614424705505,-15.453437805176,0.000000000000,-68.643211364746,0.000000000000,53.189773559570,0.000000000000
53,571068.498940467834,-15.454259872437,0.000000000000,-68.609489440918,0.000000000000,53.155229568481,0.000000000000
54,578181.899976730347,-15.453553199768,0.000000000000,-68.611312866211,0.000000000000,53.157759666443,0.000000000000
55,585383.907687187195,-15.454429626465,0.000000000000,-68.454795837402,0.000000000000,53.000366210938,0.000000000000
56,592675.625772476196,-15.454381942749,0.000000000000,-68.518226623535,0.000000000000,53.063844680786,0.000000000000
57,600058.171691894531,-15.455253601074,0.000000000000,-68.478630065918,0.000000000000,53.023376464844,0.000000000000
58,607532.676824569702,-15.455341339111,0.000000000000,-68.577674865723,0.000000000000,53.122333526611,0.000000000000
